-100,0.0118,10.1,-51.84,142,-0.2567,0.8628,148.89,0.9019,156.1,0.9428
-95,0.0181,6.585,-47.56,144.22,-0.2323,0.8442,151.23,0.883,158.55,0.9195
-90,0.0284,4.416,-43.28,146.46,-0.2083,0.8274,153.59,0.8649,161.02,0.901
-85,0.0424,3.037,-39,148.73,-0.1856,0.8122,155.98,0.8493,163.52,0.8851
-80,0.0617,2.138,-34.72,151.02,-0.1631,0.7985,158.39,0.8351,166.04,0.8706
-75,0.0879,1.538,-30.43,153.32,-0.1412,0.7861,160.82,0.8226,168.57,0.8578
-70,0.1227,1.127,-26.13,155.63,-0.1198,0.7749,163.26,0.811,171.12,0.8459
-65,0.168,0.8412,-21.81,157.96,-0.0988,0.7649,165.7,0.8008,173.68,0.8355
-60,0.2262,0.6379,-17.49,160.29,-0.0783,0.7558,168.15,0.7915,176.26,0.8259
-55,0.2998,0.491,-13.14,162.62,-0.0582,0.7475,170.6,0.783,178.84,0.8172
-50,0.3915,0.3831,-8.78,164.95,-0.0384,0.7401,173.07,0.7753,181.43,0.8093
-45,0.5044,0.3027,-4.4,167.28,-0.019,0.7335,175.54,0.7685,184.01,0.8023
-40,0.6417,0.2419,0,169.6,0,0.7274,178,0.7623,186.6,0.7959
-35,0.8071,0.1954,4.42,171.9,0.0187,0.7219,180.45,0.7568,189.18,0.7902
-30,1.004,0.1594,8.86,174.2,0.0371,0.717,182.9,0.7517,191.76,0.7851
-25,1.237,0.1312,13.33,176.48,0.0552,0.7127,185.33,0.7473,194.33,0.7805
-20,1.509,0.1088,17.82,178.73,0.0731,0.7087,187.75,0.7432,196.89,0.7764
-15,1.826,0.091,22.33,180.97,0.0906,0.7051,190.15,0.7397,199.44,0.7728
-10,2.191,0.0766,26.87,183.19,0.108,0.702,192.53,0.7365,201.97,0.7695
-5,2.61,0.065,31.45,185.38,0.1251,0.6991,194.9,0.7336,204.49,0.7666
0,3.086,0.0554,36.05,187.53,0.142,0.6966,197.25,0.7311,206.99,0.7641
5,3.626,0.0475,40.69,189.66,0.1587,0.6943,199.56,0.7289,209.47,0.7618
10,4.233,0.0409,45.37,191.74,0.1752,0.6921,201.85,0.7268,211.92,0.7598
15,4.914,0.0354,50.1,193.78,0.1915,0.6901,204.1,0.7251,214.35,0.758
20,5.673,0.0308,54.87,195.78,0.2078,0.6885,206.32,0.7235,216.75,0.7565
25,6.516,0.0269,59.7,197.73,0.2239,0.6869,208.5,0.722,219.11,0.7552
30,7.449,0.0235,64.59,199.62,0.2399,0.6853,210.63,0.7208,221.44,0.754
35,8.477,0.0206,69.55,201.45,0.2559,0.6839,212.72,0.7196,223.73,0.7529
40,9.607,0.0182,74.59,203.2,0.2718,0.6825,214.76,0.7185,225.98,0.7519
45,10.84,0.016,79.71,204.87,0.2877,0.6811,216.74,0.7175,228.18,0.7511
50,12.19,0.0142,84.94,206.45,0.3037,0.6797,218.64,0.7166,230.33,0.7503
55,13.66,0.0125,90.27,207.92,0.3197,0.6782,220.48,0.7156,232.42,0.7496
60,15.26,0.0111,95.74,209.26,0.3358,0.6765,222.23,0.7146,234.45,0.749
65,16.99,0.00985,101.36,210.46,0.3521,0.6747,223.89,0.7136,236.42,0.7484
70,18.86,0.00873,107.15,211.48,0.3686,0.6726,225.45,0.7125,238.32,0.7477
75,20.88,0.00772,113.15,212.29,0.3854,0.6702,226.89,0.7113,240.13,0.747
80,23.05,0.00682,119.39,212.83,0.4027,0.6673,228.21,0.7099,241.86,0.7463
85,25.38,0.00601,125.93,213.04,0.4204,0.6636,229.39,0.7084,243.5,0.7455
90,27.89,0.00526,132.84,212.8,0.4389,0.6591,230.43,0.7067,245.03,0.7445
95,30.57,0.00456,140.23,211.94,0.4583,0.6531,231.3,0.7047,246.47,0.7435
100,33.44,0.0039,148.32,210.12,0.4793,0.6449,231.93,0.7023,247.8,0.7424
105,36.51,0.00324,157.52,206.57,0.5028,0.6325,232.22,0.6994,248.97,0.7412
110,39.79,0.00246,169.55,197.99,0.5334,0.6076,232.47,0.6964,250.1,0.7399
112,41.15,0.00179,183.43,183.43,0.569,0.569,232.8,0.6958,250.58,0.7394
